state,year,population,population_adult,population_adult_aged_18_65,population_american_indian,population_asian,population_black,population_hispanic,population_other_or_unknown,population_white,population_adult_american_indian,population_adult_asian,population_adult_black,population_adult_hispanic,population_adult_other_or_unknown,population_adult_white,population_aged_18_65_american_indian,population_aged_18_65_asian,population_aged_18_65_black,population_aged_18_65_hispanic,population_aged_18_65_other_or_unknown,population_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
Federal Prison Total,1997,265974383,196474247.40000004,166063292.9,1836680.6,9604509.899999999,30846322.000000004,30536390.799999997,3430835.7,189719644.9,1219877.7000000002,7171405.099999999,20900676.7,19760036.1,1895730.6,145526521.2,1122131.5999999999,6551724.1,18527956.8,18401301.200000003,1733997.3,119726181.9,103,1714,1817,NA,NA,NA,3172,40614,43786,2201,30909,33110,0,0,0,4880,60659,65539
Federal Prison Total,1996,263421989,194790694.20000002,164590799.2,1838699.8,9229215.2,30609484.000000004,29293599.4,2975095.6,189475896.20000002,1221087.6,6863501.799999999,20756215.599999998,18966377.8,1642445.8,145341065.6,1122535.8,6276730.8,18398785.4,17665575.6,1502423.4,119624748.2,84,1569,1653,136,1547,1683,3036,37287,40323,1942,28061,30003,0,0,0,4444,57441,61885
Federal Prison Total,1995,260869594,193107141.00000003,163118305.5,1840719,8853920.499999998,30372646.000000004,28050807.999999996,2519355.5,189232147.5,1222297.5,6555598.499999999,20611754.5,18172719.500000004,1389161,145155610,1122940,6001737.5,18269614,16929850,1270849.5,119523314.5,97,1379,1476,129,1329,1458,2885,34170,37055,1798,25761,27559,0,0,0,4287,55974,60261
Federal Prison Total,1994,258317204,191423587.8,161645811.8,1842738.2,8478625.799999999,30135808,26808016.599999998,2063615.4,188988398.8,1223507.4000000001,6247695.199999999,20467293.4,17379061.200000003,1135876.2,144970154.4,1123344.2,5726744.2,18140442.6,16194124.4,1039275.6,119421880.8,80,1305,1385,108,1214,1322,2857,30591,33448,1622,23604,25226,9,467,476,4086,54317,58403
Federal Prison Total,1993,255764811,189740034.60000002,160173318.1,1844757.4,8103331.1,29898970,25565225.2,1607875.3,188744650.1,1224717.3,5939791.899999999,20322832.3,16585402.9,882591.4,144784698.8,1123748.4,5451750.9,18011271.2,15458398.8,807701.7,119320447.1,82,1228,1310,86,1028,1114,2697,27472,30169,1543,22719,24262,13,445,458,4013,52523,56536
Federal Prison Total,1992,253212415,188056481.4,158700824.4,1846776.6,7728036.399999999,29662132,24322433.8,1152135.2,188500901.4,1225927.2,5631888.6,20178371.2,15791744.600000001,629306.6,144599243.2,1124152.6,5176757.6,17882099.8,14722673.200000001,576127.8,119219013.4,86,1184,1270,87,807,894,2459,23304,25763,1442,20225,21667,0,400,400,3767,48165,51932
Federal Prison Total,1991,250660020,186372928.20000002,157228330.7,1848795.8,7352741.7,29425294,23079642.4,696395.1,188257152.7,1227137.1,5323985.3,20033910.1,14998086.3,376021.8,144413787.6,1124556.8,4901764.3,17752928.4,13986947.6,344553.9,119117579.7,89,1133,1222,72,719,791,2136,20591,22727,1281,17805,19086,0,0,0,3357,43511,46868
Federal Prison Total,1990,248107628,184689375,155755837,1850815,6977447,29188456,21836851,240655,188013404,1228347,5016082,19889449,14204428,122737,144228332,1124961,4626771,17623757,13251222,112980,119016146,56,1039,1095,35,534,569,1696,19095,20791,1154,16707,17861,35,0,35,2613,41507,44120
Federal Prison Total,1989,245983103,182464019.5,154062039.29999998,1809557.4999999998,6639412.299999999,28897414.4,21130673.900000002,238585.49999999997,187267461.6,1194380.2999999998,4764413.8,19578996.099999998,13676737.2,123773.29999999999,143125718.8,1094236.9,4394185.9,17351731.3,12756981.799999999,113906,118350997.39999998,56,1009,1065,35,429,464,1696,16396,18092,997,14695,15692,35,32,67,2613,36870,39483
Federal Prison Total,1988,243858581,180238664,152368241.6,1768299.9999999998,6301377.599999999,28606372.799999997,20424496.8,236515.99999999997,186521519.2,1160413.5999999999,4512745.6,19268543.2,13149046.4,124809.59999999999,142023105.6,1063512.8,4161600.8000000007,17079705.6,12262741.6,114832,117685848.79999998,32,840,872,19,374,393,1310,14006,15316,768,12138,12906,0,0,0,1881,31466,33347
Federal Prison Total,1987,241734058,178013308.5,150674443.89999998,1727042.4999999998,5963342.899999999,28315331.2,19718319.7,234446.49999999997,185775576.79999998,1126446.9,4261077.4,18958090.3,12621355.6,125845.9,140920492.4,1032788.7,3929015.7000000007,16807679.900000002,11768501.399999999,115758,117020700.19999997,27,815,842,12,317,329,1150,13491,14641,648,12269,12917,0,0,0,1838,30650,32488
Federal Prison Total,1986,239609537,175787953,148980646.2,1685785,5625308.199999999,28024289.599999998,19012142.6,232376.99999999997,185029634.4,1092480.2,4009409.2,18647637.4,12093664.799999999,126882.2,139817879.2,1002064.6,3696430.6000000006,16535654.200000001,11274261.2,116684,116355551.59999998,45,790,835,23,291,314,1142,12722,13864,547,10809,11356,0,0,0,1623,27772,29395
Federal Prison Total,1985,237485012,173562597.5,147286848.5,1644527.5,5287273.499999999,27733248,18305965.5,230307.49999999997,184283692,1058513.5,3757741,18337184.5,11565974,127918.5,138715266,971340.5,3463845.5000000005,16263628.5,10780021,117610,115690402.99999999,29,681,710,21,303,324,1002,12064,13066,447,9606,10053,0,0,0,1352,24771,26123
Federal Prison Total,1984,235360491,171337242,145593050.79999998,1603270,4949238.8,27442206.4,17599788.400000002,228238,183537749.6,1024546.7999999999,3506072.8,18026731.6,11038283.2,128954.8,137612652.8,940616.4,3231260.4000000004,15991602.8,10285780.799999999,118536,115025254.39999999,22,678,700,24,193,217,848,9938,10786,359,7905,8264,0,0,0,1102,21458,22560
Federal Prison Total,1983,233235968,169111886.5,143899253.1,1562012.5,4611204.1,27151164.8,16893611.3,226168.5,182791807.2,990580.1,3254404.6,17716278.7,10510592.4,129991.09999999999,136510039.6,909892.2999999999,2998675.3000000003,15719577.1,9791540.6,119462,114360105.8,21,634,655,16,181,197,761,9685,10446,291,7181,7472,0,0,0,956,19672,20628
Federal Prison Total,1982,231111447,166886531,142205455.4,1520755,4273169.399999999,26860123.2,16187434.200000001,224099,182045864.8,956613.4,3002736.4,17405825.8,9982901.6,131027.4,135407426.4,879168.2,2766090.2,15447551.4,9297300.4,120388,113694957.19999999,20,477,497,13,140,153,711,9283,9994,265,6563,6828,0,0,0,883,18146,19029
Federal Prison Total,1981,228986927,164661175.5,140511657.7,1479497.5,3935134.6999999997,26569081.6,15481257.1,222029.5,181299922.4,922646.7,2751068.2,17095372.9,9455210.8,132063.7,134304813.2,848444.1,2533505.1,15175525.7,8803060.2,121314,113029808.6,17,423,440,9,94,103,669,8129,8798,197,3900,4097,129,3080,3209,735,14848,15583
Federal Prison Total,1980,226862400,162435820,138817860,1438240,3597100,26278040,14775080,219960,180553980,888680,2499400,16784920,8927520,133100,133202200,817720,2300920,14903500,8308820,122240,112364660,11,374,385,1,110,111,667,7703,8370,155,3301,3456,80,978,1058,640,13799,14439
Federal Prison Total,1979,224480020,159483668,136350164,1366586,3385200,25884166,14077072,214214,179552782,839162,2348560,16384208,8463618,130010,131318110,771378,2160638,14546460,7874178,119376,110878134,21,456,477,7,72,79,778,8765,9543,165,3602,3767,42,844,886,688,14698,15386
Federal Prison Total,1978,222097640,156531516,133882468,1294932,3173300,25490292,13379064,208468,178551584,789644,2197720,15983496,7999716,126920,129434020,725036,2020356,14189420,7439536,116512,109391608,22,433,455,2,54,56,974,10424,11398,218,4061,4279,103,953,1056,727,16111,16838
