state,year,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_females,jurisdiction_unsentenced_males,jurisdiction_unsentenced_total,total_under_jurisdiction_females,total_under_jurisdiction_males,total_under_jurisdiction_total
State prison total,1999,4585,54665,59250,1009,14091,15100,5519,5200,49924,55124,59613,319,9689,10008,65132,74996,1088312,1163308,1523,11091,12614,80515,1147925,1228440
State prison total,2e3,4798,62720,67518,0,0,0,7351,7202,60008,67210,68704,149,8696,8845,76055,75638,1097122,1172760,1625,11743,13368,82989,1165826,1248815
State prison total,2001,4966,64572,69538,NA,NA,NA,5970,5723,59926,65649,67715,247,7789,8036,73685,76036,1097318,1173354,1354,10728,12082,82006,1165033,1247039
State prison total,2002,5487,63686,69173,NA,NA,NA,5966,5838,61039,66877,67672,128,6633,6761,73638,80431,1122547,1202978,1414,10500,11914,86397,1190219,1276616
State prison total,2003,5998,64144,70142,NA,NA,NA,5420,5028,61462,66490,68422,392,6960,7352,73842,83791,1137909,1221700,1471,10476,11947,89211,1206331,1295542
State prison total,2004,5961,67285,73246,NA,NA,NA,5652,5279,61720,66999,68208,373,6488,6861,73860,87006,1155906,1242912,1624,11756,13380,92658,1224114,1316772
State prison total,2005,6110,65932,72042,NA,NA,NA,7004,6486,66628,73114,73383,518,6755,7273,80387,88092,1169813,1257905,1741,11982,13723,95096,1243196,1338292
State prison total,2006,6571,69340,75911,NA,NA,NA,6708,6487,72241,78728,79263,221,7022,7243,85971,92625,1197032,1289657,1963,13653,15616,99333,1276295,1375628
State prison total,2007,6952,71525,78477,NA,NA,NA,7265,7090,75489,82579,85575,175,10086,10261,92840,93708,1210669,1304377,1666,12743,14409,100973,1296244,1397217
State prison total,2008,6868,73891,80759,NA,NA,NA,7544,7320,79323,86643,88776,224,9453,9677,96320,93795,1216887,1310682,1487,11573,13060,101339,1305663,1407002
State prison total,2009,6760,75545,82305,NA,NA,NA,7258,7255,80249,87504,87988,3,7739,7742,95246,92602,1219521,1312123,1400,11098,12498,99860,1307509,1407369
State prison total,2010,6538,74244,80782,NA,NA,NA,6820,6818,83832,90650,87295,2,3463,3465,94115,92498,1217419,1309917,1351,10675,12026,99318,1304714,1404032
State prison total,2011,7496,73136,80632,NA,NA,NA,6297,6293,82734,89027,86129,4,3395,3399,92426,91210,1198970,1290180,1341,10255,11596,97507,1285099,1382606
State prison total,2012,7505,75303,82808,NA,NA,NA,6447,6442,86858,93300,90327,5,3469,3474,96774,88276,1167532,1255808,1382,10159,11541,94723,1257859,1352582
State prison total,2013,7272,77602,84874,NA,NA,NA,5205,5205,84835,90040,86999,0,2164,2164,92204,91984,1176896,1268880,1355,10218,11573,97189,1263895,1361084
State prison total,2014,7502,73338,80840,NA,NA,NA,5593,5593,84054,89647,86113,0,2059,2059,91706,93436,1166610,1260046,1470,10890,12360,99029,1252723,1351752
State prison total,2015,7874,72553,80427,NA,NA,NA,5999,5999,83608,89607,85339,0,1731,1731,91338,92539,1146271,1238810,1396,10398,11794,98538,1231610,1330148
State prison total,2016,8377,74470,82847,NA,NA,NA,5953,5953,81871,87824,88211,0,6340,6340,94164,92772,1129269,1222041,1269,10161,11430,98725,1217480,1316205
