state,year,population,population_adult,population_adult_aged_18_65,population_american_indian,population_asian,population_black,population_hispanic,population_other_or_unknown,population_white,population_adult_american_indian,population_adult_asian,population_adult_black,population_adult_hispanic,population_adult_other_or_unknown,population_adult_white,population_aged_18_65_american_indian,population_aged_18_65_asian,population_aged_18_65_black,population_aged_18_65_hispanic,population_aged_18_65_other_or_unknown,population_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
State Prison Total,2003,283051379,210291625,178569728,1854706,11971899,33719409,39274045,4447014,191784306,1315460,9230643,23101410,25713281,2352744,148578087,1187479,8337197,20553104,23884185,2137276,122470487,1474,13035,14509,874,9875,10749,34311,538226,572537,9007,183682,192689,327,6974,7301,43102,451575,494677
State Prison Total,2002,280717370,208144701,176648656,1644917,11476291,33186892,37932668,5154239,191322363,1144389,8808181,22687737,24854414,2859450,147790530,1031626,7976403,20191700,23091607,2606636,121750684,1410,12646,14056,724,8485,9209,34354,537173,571527,8523,176745,185268,373,7145,7518,39728,435564,475292
State Prison Total,2001,277075792,204943608,173760985,1658812,10819286,32671449,36204014,5108182,190614049,1149929,8267894,22252538,23583264,2820104,146869879,1051131,7469440,19817493,21953757,2575214,120893950,1299,12330,13629,674,8132,8806,34765,537476,572241,7974,170636,178610,378,7274,7652,36472,423598,460070
State Prison Total,2000,273631565,201524907,170480774,1830623,10730394,31556836,34264765,4798056,190450891,1216248,8095115,21334060,22141011,2655585,146082888,1120919,7376704,18915471,20608478,2428719,120030483,1230,11611,12841,619,7600,8219,35820,545537,581357,7917,168968,176885,370,7243,7613,35073,411671,446744
State Prison Total,1999,271079172,199841353.80000004,169008280.3,1832642.2,10355099.299999997,31319998.000000004,33021973.599999994,4342315.9,190207142.3,1217457.9000000001,7787211.699999999,21189598.9,21347352.700000003,2402300.2,145897432.4,1121323.2,7101710.7,18786299.6,19872752.400000002,2197145.1,119929049.3,1116,11249,12365,521,7040,7561,36759,548183,584942,7847,168330,176177,4742,103487,108229,36509,467504,504013
State Prison Total,1998,268526778,198157800.60000002,167535786.6,1834661.4000000001,9979804.599999998,31083160.000000004,31779182.199999996,3886575.8000000003,189963393.60000002,1218667.8,7479308.399999999,21045137.799999997,20553694.400000002,2149015.4,145711976.79999998,1121727.4,6826717.4,18657128.2,19137026.8,1965571.2,119827615.60000001,1034,10361,11395,406,6524,6930,35321,532938,568259,7702,163312,171014,5935,121417,127352,32245,429874,462119
State Prison Total,1997,265974383,196474247.40000004,166063292.9,1836680.6,9604509.899999999,30846322.000000004,30536390.799999997,3430835.7,189719644.9,1219877.7000000002,7171405.099999999,20900676.7,19760036.1,1895730.6,145526521.2,1122131.5999999999,6551724.1,18527956.8,18401301.200000003,1733997.3,119726181.9,903,9653,10556,390,6184,6574,33912,512756,546668,7645,157918,165563,5998,118219,124217,29687,410287,439974
State Prison Total,1996,263421989,194790694.20000002,164590799.2,1838699.8,9229215.2,30609484.000000004,29293599.4,2975095.6,189475896.20000002,1221087.6,6863501.799999999,20756215.599999998,18966377.8,1642445.8,145341065.6,1122535.8,6276730.8,18398785.4,17665575.6,1502423.4,119624748.2,875,8865,9740,292,5607,5899,32373,492853,525226,7299,149459,156758,5563,110703,116266,27728,388695,416423
State Prison Total,1995,260869594,193107141.00000003,163118305.5,1840719,8853920.499999998,30372646.000000004,28050807.999999996,2519355.5,189232147.5,1222297.5,6555598.499999999,20611754.5,18172719.500000004,1389161,145155610,1122940,6001737.5,18269614,16929850,1270849.5,119523314.5,777,7923,8700,211,4814,5025,30360,476590,506950,6275,140460,146735,4793,105809,110602,24938,369822,394760
State Prison Total,1994,258317204,191423587.8,161645811.8,1842738.2,8478625.799999999,30135808,26808016.599999998,2063615.4,188988398.8,1223507.4000000001,6247695.199999999,20467293.4,17379061.200000003,1135876.2,144970154.4,1123344.2,5726744.2,18140442.6,16194124.4,1039275.6,119421880.8,688,7210,7898,192,4491,4683,27232,440992,468224,5734,125948,131682,5460,67711,73171,23628,382136,405764
State Prison Total,1993,255764811,189740034.60000002,160173318.1,1844757.4,8103331.1,29898970,25565225.2,1607875.3,188744650.1,1224717.3,5939791.899999999,20322832.3,16585402.9,882591.4,144784698.8,1123748.4,5451750.9,18011271.2,15458398.8,807701.7,119320447.1,492,6498,6990,208,4086,4294,24595,401806,426401,5178,109259,114437,1740,42690,44430,21135,354109,375244
State Prison Total,1992,253212415,188056481.4,158700824.4,1846776.6,7728036.399999999,29662132,24322433.8,1152135.2,188500901.4,1225927.2,5631888.6,20178371.2,15791744.600000001,629306.6,144599243.2,1124152.6,5176757.6,17882099.8,14722673.200000001,576127.8,119219013.4,439,5976,6415,143,2986,3129,22472,376471,398943,4351,99e3,103351,1645,35952,37597,19395,337938,357333
State Prison Total,1991,250660020,186372928.20000002,157228330.7,1848795.8,7352741.7,29425294,23079642.4,696395.1,188257152.7,1227137.1,5323985.3,20033910.1,14998086.3,376021.8,144413787.6,1124556.8,4901764.3,17752928.4,13986947.6,344553.9,119117579.7,458,5727,6185,111,2521,2632,21245,351273,372518,4260,89174,93434,1399,31312,32711,18716,319763,338479
State Prison Total,1990,248107628,184689375,155755837,1850815,6977447,29188456,21836851,240655,188013404,1228347,5016082,19889449,14204428,122737,144228332,1124961,4626771,17623757,13251222,112980,119016146,340,4808,5148,129,2111,2240,17573,326845,344418,3984,81220,85204,1356,27305,28661,16813,306897,323710
State Prison Total,1989,245983103,182464019.5,154062039.29999998,1809557.4999999998,6639412.299999999,28897414.4,21130673.900000002,238585.49999999997,187267461.6,1194380.2999999998,4764413.8,19578996.099999998,13676737.2,123773.29999999999,143125718.8,1094236.9,4394185.9,17351731.3,12756981.799999999,113906,118350997.39999998,340,4589,4929,129,1887,2016,17573,299287,316860,3588,71103,74691,1356,24164,25520,16813,287254,304067
State Prison Total,1988,243858581,180238664,152368241.6,1768299.9999999998,6301377.599999999,28606372.799999997,20424496.8,236515.99999999997,186521519.2,1160413.5999999999,4512745.6,19268543.2,13149046.4,124809.59999999999,142023105.6,1063512.8,4161600.8000000007,17079705.6,12262741.6,114832,117685848.79999998,278,4200,4478,122,1662,1784,13582,260564,274146,2848,60646,63494,1083,20816,21899,14297,261068,275365
State Prison Total,1987,241734058,178013308.5,150674443.89999998,1727042.4999999998,5963342.899999999,28315331.2,19718319.7,234446.49999999997,185775576.79999998,1126446.9,4261077.4,18958090.3,12621355.6,125845.9,140920492.4,1032788.7,3929015.7000000007,16807679.900000002,11768501.399999999,115758,117020700.19999997,328,4291,4619,76,1592,1668,12078,236239,248317,2381,54512,56893,839,18159,18998,12539,246579,259118
State Prison Total,1986,239609537,175787953,148980646.2,1685785,5625308.199999999,28024289.599999998,19012142.6,232376.99999999997,185029634.4,1092480.2,4009409.2,18647637.4,12093664.799999999,126882.2,139817879.2,1002064.6,3696430.6000000006,16535654.200000001,11274261.2,116684,116355551.59999998,318,4138,4456,71,1465,1536,11261,221708,232969,2155,49099,51254,752,15706,16458,11420,233886,245306
State Prison Total,1985,237485012,173562597.5,147286848.5,1644527.5,5287273.499999999,27733248,18305965.5,230307.49999999997,184283692,1058513.5,3757741,18337184.5,11565974,127918.5,138715266,971340.5,3463845.5000000005,16263628.5,10780021,117610,115690402.99999999,281,3799,4080,83,1497,1580,9791,204280,214071,1765,42854,44619,463,7235,7698,10077,224647,234724
State Prison Total,1984,235360491,171337242,145593050.79999998,1603270,4949238.8,27442206.4,17599788.400000002,228238,183537749.6,1024546.7999999999,3506072.8,18026731.6,11038283.2,128954.8,137612652.8,940616.4,3231260.4000000004,15991602.8,10285780.799999999,118536,115025254.39999999,263,3511,3774,95,1868,1963,9133,189754,198887,1422,38220,39642,328,6359,6687,9003,207865,216868
State Prison Total,1983,233235968,169111886.5,143899253.1,1562012.5,4611204.1,27151164.8,16893611.3,226168.5,182791807.2,990580.1,3254404.6,17716278.7,10510592.4,129991.09999999999,136510039.6,909892.2999999999,2998675.3000000003,15719577.1,9791540.6,119462,114360105.8,232,3199,3431,58,1322,1380,8435,181335,189770,1053,32563,33616,251,5206,5457,8424,196850,205274
State Prison Total,1982,231111447,166886531,142205455.4,1520755,4273169.399999999,26860123.2,16187434.200000001,224099,182045864.8,956613.4,3002736.4,17405825.8,9982901.6,131027.4,135407426.4,879168.2,2766090.2,15447551.4,9297300.4,120388,113694957.19999999,198,3063,3261,41,1310,1351,8055,171561,179616,834,29564,30398,311,4438,4749,7691,188021,195712
State Prison Total,1981,228986927,164661175.5,140511657.7,1479497.5,3935134.6999999997,26569081.6,15481257.1,222029.5,181299922.4,922646.7,2751068.2,17095372.9,9455210.8,132063.7,134304813.2,848444.1,2533505.1,15175525.7,8803060.2,121314,113029808.6,174,2693,2867,37,1030,1067,7018,152313,159331,679,24311,24990,83,2371,2454,6566,168354,174920
State Prison Total,1980,226862400,162435820,138817860,1438240,3597100,26278040,14775080,219960,180553980,888680,2499400,16784920,8927520,133100,133202200,817720,2300920,14903500,8308820,122240,112364660,147,2479,2626,17,714,731,5882,135997,141879,640,21150,21790,262,3999,4261,5551,149284,154835
State Prison Total,1979,224480020,159483668,136350164,1366586,3385200,25884166,14077072,214214,179552782,839162,2348560,16384208,8463618,130010,131318110,771378,2160638,14546460,7874178,119376,110878134,156,2295,2451,25,645,670,5829,130011,135840,699,18727,19426,229,2189,2418,5151,141105,146256
State Prison Total,1978,222097640,156531516,133882468,1294932,3173300,25490292,13379064,208468,178551584,789644,2197720,15983496,7999716,126920,129434020,725036,2020356,14189420,7439536,116512,109391608,139,1990,2129,30,613,643,5509,126469,131978,415,11020,11435,267,1412,1679,4947,135423,140370
