state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
State prison total,1990,340,4808,5148,129,2111,2240,17573,326845,344418,3984,81220,85204,NA,NA,NA,0,0,0,NA,NA,NA,1356,27305,28661,16813,306897,323710
State prison total,1991,458,5727,6185,111,2521,2632,21245,351273,372518,4260,89174,93434,NA,NA,NA,0,0,0,NA,NA,NA,1399,31312,32711,18716,319763,338479
State prison total,1992,439,5976,6415,143,2986,3129,22472,376471,398943,4351,99e3,103351,NA,NA,NA,0,0,0,NA,NA,NA,1645,35952,37597,19395,337938,357333
State prison total,1993,492,6498,6990,208,4086,4294,24595,401806,426401,5178,109259,114437,NA,NA,NA,0,0,0,NA,NA,NA,1740,42690,44430,21135,354109,375244
State prison total,1994,688,7210,7898,192,4491,4683,27232,440992,468224,5734,125948,131682,NA,NA,NA,0,0,0,NA,NA,NA,5460,67711,73171,23628,382136,405764
State prison total,1995,777,7923,8700,211,4814,5025,30360,476590,506950,6275,140460,146735,NA,NA,NA,0,0,0,NA,NA,NA,4793,105809,110602,24938,369822,394760
State prison total,1996,875,8865,9740,292,5607,5899,32373,492853,525226,7299,149459,156758,NA,NA,NA,0,0,0,NA,NA,NA,5563,110703,116266,27728,388695,416423
State prison total,1997,903,9653,10556,NA,NA,NA,33912,512756,546668,7645,157918,165563,232,1889,2121,0,0,0,NA,NA,NA,5998,118219,124217,29687,410287,439974
State prison total,1998,1034,10361,11395,NA,NA,NA,35321,532938,568259,7702,163312,171014,205,2104,2309,0,0,0,NA,NA,NA,5935,121417,127352,32245,429874,462119
State prison total,1999,1116,11249,12365,NA,NA,NA,36759,548183,584942,7847,168330,176177,263,2114,2377,108229,4742,103487,NA,NA,NA,569,8119,8688,36509,467504,504013
State prison total,2e3,1230,11611,12841,NA,NA,NA,35820,545537,581357,7917,168968,176885,310,2324,2634,7613,370,7243,NA,NA,NA,113,1201,1314,35073,411671,446744
State prison total,2001,1299,12330,13629,NA,NA,NA,34765,537476,572241,7974,170636,178610,314,2423,2737,7652,378,7274,NA,NA,NA,87,960,1047,36472,423598,460070
State prison total,2002,1410,12646,14056,NA,NA,NA,34354,537173,571527,8523,176745,185268,337,2604,2941,7518,373,7145,NA,NA,NA,82,1506,1588,39728,435564,475292
State prison total,2003,1474,13035,14509,NA,NA,NA,34311,538226,572537,9007,183682,192689,435,3657,4092,7301,327,6974,NA,NA,NA,135,1472,1607,43102,451575,494677
State prison total,2004,1638,13744,15382,NA,NA,NA,33851,540435,574286,9560,187868,197428,390,2989,3379,8413,415,7998,NA,NA,NA,81,1552,1633,46273,460347,506620
State prison total,2005,1820,13809,15629,NA,NA,NA,32535,541528,574063,10081,187631,197712,407,2993,3400,9355,447,8908,15,72,87,136,1918,2054,49615,480614,530229
State prison total,2006,1890,15057,16947,NA,NA,NA,32946,551997,584943,10687,194639,205326,422,2996,3418,10013,513,9500,31,73,104,157,2164,2321,52046,489394,541440
State prison total,2007,1986,14938,16924,NA,NA,NA,32965,562616,595581,10980,205474,216454,433,3040,3473,9745,427,9318,29,150,179,208,2927,3135,53192,487931,541123
State prison total,2008,2001,15e3,17001,NA,NA,NA,32187,566362,598549,10699,201158,211857,471,3373,3844,10069,424,9645,57,381,438,149,2604,2753,52875,493336,546211
State prison total,2009,2110,15201,17311,NA,NA,NA,31329,566994,598323,10867,207097,217964,471,3220,3691,8743,387,8356,53,285,338,166,3643,3809,53755,493017,546772
State prison total,2010,2264,15547,17811,NA,NA,NA,30006,558078,588084,10733,207808,218541,481,3121,3602,8421,358,8063,106,482,588,159,3440,3599,54433,491798,546231
State prison total,2011,2140,15344,17484,NA,NA,NA,28435,552998,581433,10334,204376,214710,472,3288,3760,7794,293,7501,80,469,549,184,2353,2537,54929,490763,545692
State prison total,2012,2179,15035,17214,NA,NA,NA,26478,540302,566780,9527,196512,206039,414,3101,3515,7488,321,7167,74,382,456,173,2557,2730,54820,486445,541265
State prison total,2013,2169,14133,16302,NA,NA,NA,25968,535070,561038,9765,196521,206286,368,2721,3089,9558,445,9113,61,408,469,195,3034,3229,56710,487229,543939
State prison total,2014,2537,16535,19072,NA,NA,NA,25293,525633,550926,10086,196117,206203,318,2750,3068,9579,509,9070,99,699,798,114,2217,2331,59243,491612,550855
State prison total,2015,2515,16869,19384,NA,NA,NA,24504,512531,537035,10393,194127,204520,376,2936,3312,8791,483,8308,57,353,410,181,2367,2548,59402,486651,546053
State prison total,2016,2604,16600,19204,NA,NA,NA,23623,502856,526479,10474,201790,212264,346,2866,3212,8738,510,8228,78,404,482,187,2067,2254,60184,474783,534967
