"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"2011"	"2011"	"Drug-induced causes"	"D"	605	4802740	12.60	12.90
	"Alabama"	"01"	"2011"	"2011"	"Alcohol-induced causes"	"A"	249	4802740	5.18	4.58
"Total"	"Alabama"	"01"	"2011"	"2011"			854	4802740	17.78	17.47
	"Alabama"	"01"	"2012"	"2012"	"Drug-induced causes"	"D"	632	4822023	13.11	13.56
	"Alabama"	"01"	"2012"	"2012"	"Alcohol-induced causes"	"A"	280	4822023	5.81	5.11
"Total"	"Alabama"	"01"	"2012"	"2012"			912	4822023	18.91	18.65
	"Alabama"	"01"	"2013"	"2013"	"Drug-induced causes"	"D"	648	4833722	13.41	13.76
	"Alabama"	"01"	"2013"	"2013"	"Alcohol-induced causes"	"A"	259	4833722	5.36	4.66
"Total"	"Alabama"	"01"	"2013"	"2013"			907	4833722	18.76	18.43
	"Alabama"	"01"	"2014"	"2014"	"Drug-induced causes"	"D"	800	4849377	16.50	16.74
	"Alabama"	"01"	"2014"	"2014"	"Alcohol-induced causes"	"A"	310	4849377	6.39	5.48
"Total"	"Alabama"	"01"	"2014"	"2014"			1110	4849377	22.89	22.23
	"Alabama"	"01"	"2015"	"2015"	"Drug-induced causes"	"D"	810	4858979	16.67	17.17
	"Alabama"	"01"	"2015"	"2015"	"Alcohol-induced causes"	"A"	316	4858979	6.50	5.75
"Total"	"Alabama"	"01"	"2015"	"2015"			1126	4858979	23.17	22.90
	"Alabama"	"01"	"2016"	"2016"	"Drug-induced causes"	"D"	855	4863300	17.58	17.96
	"Alabama"	"01"	"2016"	"2016"	"Alcohol-induced causes"	"A"	395	4863300	8.12	6.99
"Total"	"Alabama"	"01"	"2016"	"2016"			1250	4863300	25.70	24.95
	"Alabama"	"01"	"2017"	"2017"	"Drug-induced causes"	"D"	960	4874747	19.69	20.28
	"Alabama"	"01"	"2017"	"2017"	"Alcohol-induced causes"	"A"	387	4874747	7.94	6.80
"Total"	"Alabama"	"01"	"2017"	"2017"			1347	4874747	27.63	27.06
"Total"	"Alabama"	"01"					15203	88891578	17.10	16.78
	"Alaska"	"02"	"1999"	"1999"	"Drug-induced causes"	"D"	56	624779	8.96	8.92
	"Alaska"	"02"	"1999"	"1999"	"Alcohol-induced causes"	"A"	94	624779	15.05	16.27
"Total"	"Alaska"	"02"	"1999"	"1999"			150	624779	24.01	25.20
	"Alaska"	"02"	"2000"	"2000"	"Drug-induced causes"	"D"	54	626932	8.61	8.46
	"Alaska"	"02"	"2000"	"2000"	"Alcohol-induced causes"	"A"	102	626932	16.27	18.73
"Total"	"Alaska"	"02"	"2000"	"2000"			156	626932	24.88	27.19
	"Alaska"	"02"	"2001"	"2001"	"Drug-induced causes"	"D"	72	633714	11.36	11.08
	"Alaska"	"02"	"2001"	"2001"	"Alcohol-induced causes"	"A"	120	633714	18.94	20.74
"Total"	"Alaska"	"02"	"2001"	"2001"			192	633714	30.30	31.83
	"Alaska"	"02"	"2002"	"2002"	"Drug-induced causes"	"D"	85	642337	13.23	12.37
	"Alaska"	"02"	"2002"	"2002"	"Alcohol-induced causes"	"A"	125	642337	19.46	19.94
"Total"	"Alaska"	"02"	"2002"	"2002"			210	642337	32.69	32.34
	"Alaska"	"02"	"2003"	"2003"	"Drug-induced causes"	"D"	86	648414	13.26	13.39
	"Alaska"	"02"	"2003"	"2003"	"Alcohol-induced causes"	"A"	122	648414	18.82	21.04
"Total"	"Alaska"	"02"	"2003"	"2003"			208	648414	32.08	34.40
	"Alaska"	"02"	"2004"	"2004"	"Drug-induced causes"	"D"	92	659286	13.95	13.52
	"Alaska"	"02"	"2004"	"2004"	"Alcohol-induced causes"	"A"	104	659286	15.77	16.07
"Total"	"Alaska"	"02"	"2004"	"2004"			196	659286	29.73	29.61
	"Alaska"	"02"	"2005"	"2005"	"Drug-induced causes"	"D"	85	666946	12.74	12.27
	"Alaska"	"02"	"2005"	"2005"	"Alcohol-induced causes"	"A"	121	666946	18.14	19.50
"Total"	"Alaska"	"02"	"2005"	"2005"			206	666946	30.89	31.76
	"Alaska"	"02"	"2006"	"2006"	"Drug-induced causes"	"D"	85	675302	12.59	12.61
	"Alaska"	"02"	"2006"	"2006"	"Alcohol-induced causes"	"A"	143	675302	21.18	21.40
"Total"	"Alaska"	"02"	"2006"	"2006"			228	675302	33.76	34.03
	"Alaska"	"02"	"2007"	"2007"	"Drug-induced causes"	"D"	75	680300	11.02	10.48
	"Alaska"	"02"	"2007"	"2007"	"Alcohol-induced causes"	"A"	144	680300	21.17	20.60
"Total"	"Alaska"	"02"	"2007"	"2007"			219	680300	32.19	31.09
	"Alaska"	"02"	"2008"	"2008"	"Drug-induced causes"	"D"	132	687455	19.20	18.99
	"Alaska"	"02"	"2008"	"2008"	"Alcohol-induced causes"	"A"	147	687455	21.38	21.61
"Total"	"Alaska"	"02"	"2008"	"2008"			279	687455	40.58	40.61
	"Alaska"	"02"	"2009"	"2009"	"Drug-induced causes"	"D"	133	698895	19.03	18.11
	"Alaska"	"02"	"2009"	"2009"	"Alcohol-induced causes"	"A"	149	698895	21.32	21.79
"Total"	"Alaska"	"02"	"2009"	"2009"			282	698895	40.35	39.92
	"Alaska"	"02"	"2010"	"2010"	"Drug-induced causes"	"D"	84	710231	11.83	11.93
	"Alaska"	"02"	"2010"	"2010"	"Alcohol-induced causes"	"A"	122	710231	17.18	16.31
"Total"	"Alaska"	"02"	"2010"	"2010"			206	710231	29.00	28.22
	"Alaska"	"02"	"2011"	"2011"	"Drug-induced causes"	"D"	107	722718	14.81	14.24
	"Alaska"	"02"	"2011"	"2011"	"Alcohol-induced causes"	"A"	131	722718	18.13	17.35
"Total"	"Alaska"	"02"	"2011"	"2011"			238	722718	32.93	31.57
	"Alaska"	"02"	"2012"	"2012"	"Drug-induced causes"	"D"	132	731449	18.05	17.77
	"Alaska"	"02"	"2012"	"2012"	"Alcohol-induced causes"	"A"	122	731449	16.68	15.87
"Total"	"Alaska"	"02"	"2012"	"2012"			254	731449	34.73	33.64
	"Alaska"	"02"	"2013"	"2013"	"Drug-induced causes"	"D"	110	735132	14.96	15.06
	"Alaska"	"02"	"2013"	"2013"	"Alcohol-induced causes"	"A"	126	735132	17.14	16.68
"Total"	"Alaska"	"02"	"2013"	"2013"			236	735132	32.10	31.74
	"Alaska"	"02"	"2014"	"2014"	"Drug-induced causes"	"D"	127	736732	17.24	17.14
	"Alaska"	"02"	"2014"	"2014"	"Alcohol-induced causes"	"A"	139	736732	18.87	18.20
"Total"	"Alaska"	"02"	"2014"	"2014"			266	736732	36.11	35.36
	"Alaska"	"02"	"2015"	"2015"	"Drug-induced causes"	"D"	127	738432	17.20	16.81
	"Alaska"	"02"	"2015"	"2015"	"Alcohol-induced causes"	"A"	161	738432	21.80	21.07
"Total"	"Alaska"	"02"	"2015"	"2015"			288	738432	39.00	37.88
	"Alaska"	"02"	"2016"	"2016"	"Drug-induced causes"	"D"	138	741894	18.60	18.13
	"Alaska"	"02"	"2016"	"2016"	"Alcohol-induced causes"	"A"	183	741894	24.67	23.36
"Total"	"Alaska"	"02"	"2016"	"2016"			321	741894	43.27	41.49
	"Alaska"	"02"	"2017"	"2017"	"Drug-induced causes"	"D"	158	739795	21.36	21.64
	"Alaska"	"02"	"2017"	"2017"	"Alcohol-induced causes"	"A"	159	739795	21.49	20.21
"Total"	"Alaska"	"02"	"2017"	"2017"			317	739795	42.85	41.87
"Total"	"Alaska"	"02"					4452	13100743	33.98	33.88
	"Arizona"	"04"	"1999"	"1999"	"Drug-induced causes"	"D"	557	5023823	11.09	11.51
	"Arizona"	"04"	"1999"	"1999"	"Alcohol-induced causes"	"A"	468	5023823	9.32	9.69
"Total"	"Arizona"	"04"	"1999"	"1999"			1025	5023823	20.40	21.20
	"Arizona"	"04"	"2000"	"2000"	"Drug-induced causes"	"D"	559	5130632	10.90	11.34
	"Arizona"	"04"	"2000"	"2000"	"Alcohol-induced causes"	"A"	472	5130632	9.20	9.56
"Total"	"Arizona"	"04"	"2000"	"2000"			1031	5130632	20.09	20.89
	"Arizona"	"04"	"2001"	"2001"	"Drug-induced causes"	"D"	598	5273477	11.34	11.81
	"Arizona"	"04"	"2001"	"2001"	"Alcohol-induced causes"	"A"	450	5273477	8.53	8.85
"Total"	"Arizona"	"04"	"2001"	"2001"			1048	5273477	19.87	20.66
	"Arizona"	"04"	"2002"	"2002"	"Drug-induced causes"	"D"	667	5396255	12.36	12.81
	"Arizona"	"04"	"2002"	"2002"	"Alcohol-induced causes"	"A"	515	5396255	9.54	9.80
"Total"	"Arizona"	"04"	"2002"	"2002"			1182	5396255	21.90	22.61
	"Arizona"	"04"	"2003"	"2003"	"Drug-induced causes"	"D"	739	5510364	13.41	13.94
	"Arizona"	"04"	"2003"	"2003"	"Alcohol-induced causes"	"A"	572	5510364	10.38	10.57
"Total"	"Arizona"	"04"	"2003"	"2003"			1311	5510364	23.79	24.52
	"Arizona"	"04"	"2004"	"2004"	"Drug-induced causes"	"D"	803	5652404	14.21	14.78
	"Arizona"	"04"	"2004"	"2004"	"Alcohol-induced causes"	"A"	590	5652404	10.44	10.44
"Total"	"Arizona"	"04"	"2004"	"2004"			1393	5652404	24.64	25.23
	"Arizona"	"04"	"2005"	"2005"	"Drug-induced causes"	"D"	849	5839077	14.54	15.07
	"Arizona"	"04"	"2005"	"2005"	"Alcohol-induced causes"	"A"	667	5839077	11.42	11.33
"Total"	"Arizona"	"04"	"2005"	"2005"			1516	5839077	25.96	26.41
	"Arizona"	"04"	"2006"	"2006"	"Drug-induced causes"	"D"	959	6029141	15.91	16.37
	"Arizona"	"04"	"2006"	"2006"	"Alcohol-induced causes"	"A"	664	6029141	11.01	10.88
"Total"	"Arizona"	"04"	"2006"	"2006"			1623	6029141	26.92	27.26
	"Arizona"	"04"	"2007"	"2007"	"Drug-induced causes"	"D"	981	6167681	15.91	16.32
	"Arizona"	"04"	"2007"	"2007"	"Alcohol-induced causes"	"A"	747	6167681	12.11	12.03
"Total"	"Arizona"	"04"	"2007"	"2007"			1728	6167681	28.02	28.37
	"Arizona"	"04"	"2008"	"2008"	"Drug-induced causes"	"D"	853	6280362	13.58	13.94
	"Arizona"	"04"	"2008"	"2008"	"Alcohol-induced causes"	"A"	784	6280362	12.48	12.19
"Total"	"Arizona"	"04"	"2008"	"2008"			1637	6280362	26.07	26.14
	"Arizona"	"04"	"2009"	"2009"	"Drug-induced causes"	"D"	1041	6343154	16.41	16.73
	"Arizona"	"04"	"2009"	"2009"	"Alcohol-induced causes"	"A"	804	6343154	12.68	12.25
"Total"	"Arizona"	"04"	"2009"	"2009"			1845	6343154	29.09	28.98
	"Arizona"	"04"	"2010"	"2010"	"Drug-induced causes"	"D"	1141	6392017	17.85	18.16
	"Arizona"	"04"	"2010"	"2010"	"Alcohol-induced causes"	"A"	987	6392017	15.44	14.69
"Total"	"Arizona"	"04"	"2010"	"2010"			2128	6392017	33.29	32.84
	"Arizona"	"04"	"2011"	"2011"	"Drug-induced causes"	"D"	1118	6482505	17.25	17.54
	"Arizona"	"04"	"2011"	"2011"	"Alcohol-induced causes"	"A"	1008	6482505	15.55	14.66
"Total"	"Arizona"	"04"	"2011"	"2011"			2126	6482505	32.80	32.18
	"Arizona"	"04"	"2012"	"2012"	"Drug-induced causes"	"D"	1206	6553255	18.40	18.75
	"Arizona"	"04"	"2012"	"2012"	"Alcohol-induced causes"	"A"	1056	6553255	16.11	14.89
"Total"	"Arizona"	"04"	"2012"	"2012"			2262	6553255	34.52	33.64
	"Arizona"	"04"	"2013"	"2013"	"Drug-induced causes"	"D"	1304	6626624	19.68	19.91
	"Arizona"	"04"	"2013"	"2013"	"Alcohol-induced causes"	"A"	1138	6626624	17.17	16.01
"Total"	"Arizona"	"04"	"2013"	"2013"			2442	6626624	36.85	35.96
	"Arizona"	"04"	"2014"	"2014"	"Drug-induced causes"	"D"	1274	6731484	18.93	19.09
	"Arizona"	"04"	"2014"	"2014"	"Alcohol-induced causes"	"A"	1170	6731484	17.38	16.08
"Total"	"Arizona"	"04"	"2014"	"2014"			2444	6731484	36.31	35.19
	"Arizona"	"04"	"2015"	"2015"	"Drug-induced causes"	"D"	1351	6828065	19.79	20.14
	"Arizona"	"04"	"2015"	"2015"	"Alcohol-induced causes"	"A"	1277	6828065	18.70	17.32
"Total"	"Arizona"	"04"	"2015"	"2015"			2628	6828065	38.49	37.46
	"Arizona"	"04"	"2016"	"2016"	"Drug-induced causes"	"D"	1500	6931071	21.64	21.92
	"Arizona"	"04"	"2016"	"2016"	"Alcohol-induced causes"	"A"	1327	6931071	19.15	17.56
"Total"	"Arizona"	"04"	"2016"	"2016"			2827	6931071	40.79	39.46
	"Arizona"	"04"	"2017"	"2017"	"Drug-induced causes"	"D"	1628	7016270	23.20	23.56
	"Arizona"	"04"	"2017"	"2017"	"Alcohol-induced causes"	"A"	1228	7016270	17.50	16.19
"Total"	"Arizona"	"04"	"2017"	"2017"			2856	7016270	40.71	39.76
"Total"	"Arizona"	"04"					35052	116207661	30.16	30.19
	"Arkansas"	"05"	"1999"	"1999"	"Drug-induced causes"	"D"	121	2651860	4.56	4.73
	"Arkansas"	"05"	"1999"	"1999"	"Alcohol-induced causes"	"A"	120	2651860	4.53	4.52
"Total"	"Arkansas"	"05"	"1999"	"1999"			241	2651860	9.09	9.25
	"Arkansas"	"05"	"2000"	"2000"	"Drug-induced causes"	"D"	151	2673400	5.65	5.81
	"Arkansas"	"05"	"2000"	"2000"	"Alcohol-induced causes"	"A"	113	2673400	4.23	4.19
"Total"	"Arkansas"	"05"	"2000"	"2000"			264	2673400	9.88	10.00
	"Arkansas"	"05"	"2001"	"2001"	"Drug-induced causes"	"D"	131	2691571	4.87	5.03
	"Arkansas"	"05"	"2001"	"2001"	"Alcohol-induced causes"	"A"	161	2691571	5.98	5.83
"Total"	"Arkansas"	"05"	"2001"	"2001"			292	2691571	10.85	10.87
	"Arkansas"	"05"	"2002"	"2002"	"Drug-induced causes"	"D"	190	2705927	7.02	7.33
	"Arkansas"	"05"	"2002"	"2002"	"Alcohol-induced causes"	"A"	136	2705927	5.03	4.81
"Total"	"Arkansas"	"05"	"2002"	"2002"			326	2705927	12.05	12.14
	"Arkansas"	"05"	"2003"	"2003"	"Drug-induced causes"	"D"	203	2724816	7.45	7.72
	"Arkansas"	"05"	"2003"	"2003"	"Alcohol-induced causes"	"A"	138	2724816	5.06	4.82
"Total"	"Arkansas"	"05"	"2003"	"2003"			341	2724816	12.51	12.55
	"Arkansas"	"05"	"2004"	"2004"	"Drug-induced causes"	"D"	249	2749686	9.06	9.39
	"Arkansas"	"05"	"2004"	"2004"	"Alcohol-induced causes"	"A"	131	2749686	4.76	4.57
"Total"	"Arkansas"	"05"	"2004"	"2004"			380	2749686	13.82	13.94
	"Arkansas"	"05"	"2005"	"2005"	"Drug-induced causes"	"D"	286	2781097	10.28	10.68
	"Arkansas"	"05"	"2005"	"2005"	"Alcohol-induced causes"	"A"	146	2781097	5.25	4.87
"Total"	"Arkansas"	"05"	"2005"	"2005"			432	2781097	15.53	15.51
	"Arkansas"	"05"	"2006"	"2006"	"Drug-induced causes"	"D"	307	2821761	10.88	11.30
	"Arkansas"	"05"	"2006"	"2006"	"Alcohol-induced causes"	"A"	171	2821761	6.06	5.72
"Total"	"Arkansas"	"05"	"2006"	"2006"			478	2821761	16.94	17.01
	"Arkansas"	"05"	"2007"	"2007"	"Drug-induced causes"	"D"	326	2848650	11.44	11.75
	"Arkansas"	"05"	"2007"	"2007"	"Alcohol-induced causes"	"A"	173	2848650	6.07	5.59
"Total"	"Arkansas"	"05"	"2007"	"2007"			499	2848650	17.52	17.34
	"Arkansas"	"05"	"2008"	"2008"	"Drug-induced causes"	"D"	390	2874554	13.57	14.03
	"Arkansas"	"05"	"2008"	"2008"	"Alcohol-induced causes"	"A"	200	2874554	6.96	6.47
"Total"	"Arkansas"	"05"	"2008"	"2008"			590	2874554	20.52	20.52
	"Arkansas"	"05"	"2009"	"2009"	"Drug-induced causes"	"D"	384	2896843	13.26	13.68
	"Arkansas"	"05"	"2009"	"2009"	"Alcohol-induced causes"	"A"	173	2896843	5.97	5.55
"Total"	"Arkansas"	"05"	"2009"	"2009"			557	2896843	19.23	19.23
	"Arkansas"	"05"	"2010"	"2010"	"Drug-induced causes"	"D"	374	2915918	12.83	13.30
	"Arkansas"	"05"	"2010"	"2010"	"Alcohol-induced causes"	"A"	179	2915918	6.14	5.73
"Total"	"Arkansas"	"05"	"2010"	"2010"			553	2915918	18.96	19.02
	"Arkansas"	"05"	"2011"	"2011"	"Drug-induced causes"	"D"	375	2937979	12.76	13.30
	"Arkansas"	"05"	"2011"	"2011"	"Alcohol-induced causes"	"A"	176	2937979	5.99	5.41
"Total"	"Arkansas"	"05"	"2011"	"2011"			551	2937979	18.75	18.71
	"Arkansas"	"05"	"2012"	"2012"	"Drug-induced causes"	"D"	398	2949131	13.50	13.87
	"Arkansas"	"05"	"2012"	"2012"	"Alcohol-induced causes"	"A"	175	2949131	5.93	5.30
"Total"	"Arkansas"	"05"	"2012"	"2012"			573	2949131	19.43	19.20
	"Arkansas"	"05"	"2013"	"2013"	"Drug-induced causes"	"D"	343	2959373	11.59	11.80
	"Arkansas"	"05"	"2013"	"2013"	"Alcohol-induced causes"	"A"	189	2959373	6.39	5.87
"Total"	"Arkansas"	"05"	"2013"	"2013"			532	2959373	17.98	17.71
	"Arkansas"	"05"	"2014"	"2014"	"Drug-induced causes"	"D"	377	2966369	12.71	13.25
	"Arkansas"	"05"	"2014"	"2014"	"Alcohol-induced causes"	"A"	209	2966369	7.05	6.19
"Total"	"Arkansas"	"05"	"2014"	"2014"			586	2966369	19.75	19.41
	"Arkansas"	"05"	"2015"	"2015"	"Drug-induced causes"	"D"	425	2978204	14.27	14.94
	"Arkansas"	"05"	"2015"	"2015"	"Alcohol-induced causes"	"A"	242	2978204	8.13	7.22
"Total"	"Arkansas"	"05"	"2015"	"2015"			667	2978204	22.40	22.16
	"Arkansas"	"05"	"2016"	"2016"	"Drug-induced causes"	"D"	423	2988248	14.16	14.68
	"Arkansas"	"05"	"2016"	"2016"	"Alcohol-induced causes"	"A"	286	2988248	9.57	8.54
"Total"	"Arkansas"	"05"	"2016"	"2016"			709	2988248	23.73	23.23
	"Arkansas"	"05"	"2017"	"2017"	"Drug-induced causes"	"D"	481	3004279	16.01	16.70
	"Arkansas"	"05"	"2017"	"2017"	"Alcohol-induced causes"	"A"	261	3004279	8.69	7.93
"Total"	"Arkansas"	"05"	"2017"	"2017"			742	3004279	24.70	24.64
"Total"	"Arkansas"	"05"					9313	54119666	17.21	17.16
	"California"	"06"	"1999"	"1999"	"Drug-induced causes"	"D"	3091	33499204	9.23	9.41
	"California"	"06"	"1999"	"1999"	"Alcohol-induced causes"	"A"	3286	33499204	9.81	10.78
"Total"	"California"	"06"	"1999"	"1999"			6377	33499204	19.04	20.20
	"California"	"06"	"2000"	"2000"	"Drug-induced causes"	"D"	2301	33871648	6.79	6.93
	"California"	"06"	"2000"	"2000"	"Alcohol-induced causes"	"A"	3406	33871648	10.06	10.95
"Total"	"California"	"06"	"2000"	"2000"			5707	33871648	16.85	17.89
	"California"	"06"	"2001"	"2001"	"Drug-induced causes"	"D"	1507	34479458	4.37	4.45
	"California"	"06"	"2001"	"2001"	"Alcohol-induced causes"	"A"	3399	34479458	9.86	10.63
"Total"	"California"	"06"	"2001"	"2001"			4906	34479458	14.23	15.09
	"California"	"06"	"2002"	"2002"	"Drug-induced causes"	"D"	3418	34871843	9.80	9.95
	"California"	"06"	"2002"	"2002"	"Alcohol-induced causes"	"A"	3542	34871843	10.16	10.81
"Total"	"California"	"06"	"2002"	"2002"			6960	34871843	19.96	20.78
	"California"	"06"	"2003"	"2003"	"Drug-induced causes"	"D"	3614	35253159	10.25	10.39
	"California"	"06"	"2003"	"2003"	"Alcohol-induced causes"	"A"	3752	35253159	10.64	11.17
"Total"	"California"	"06"	"2003"	"2003"			7366	35253159	20.89	21.60
	"California"	"06"	"2004"	"2004"	"Drug-induced causes"	"D"	3681	35574576	10.35	10.40
	"California"	"06"	"2004"	"2004"	"Alcohol-induced causes"	"A"	3703	35574576	10.41	10.81
"Total"	"California"	"06"	"2004"	"2004"			7384	35574576	20.76	21.21
	"California"	"06"	"2005"	"2005"	"Drug-induced causes"	"D"	3821	35827943	10.66	10.67
	"California"	"06"	"2005"	"2005"	"Alcohol-induced causes"	"A"	3932	35827943	10.97	11.20
"Total"	"California"	"06"	"2005"	"2005"			7753	35827943	21.64	21.89
	"California"	"06"	"2006"	"2006"	"Drug-induced causes"	"D"	4026	36021202	11.18	11.07
	"California"	"06"	"2006"	"2006"	"Alcohol-induced causes"	"A"	3932	36021202	10.92	10.99
"Total"	"California"	"06"	"2006"	"2006"			7958	36021202	22.09	22.07
	"California"	"06"	"2007"	"2007"	"Drug-induced causes"	"D"	4178	36250311	11.53	11.34
	"California"	"06"	"2007"	"2007"	"Alcohol-induced causes"	"A"	4027	36250311	11.11	11.08
"Total"	"California"	"06"	"2007"	"2007"			8205	36250311	22.63	22.41
	"California"	"06"	"2008"	"2008"	"Drug-induced causes"	"D"	4147	36604337	11.33	11.14
	"California"	"06"	"2008"	"2008"	"Alcohol-induced causes"	"A"	4167	36604337	11.38	11.24
"Total"	"California"	"06"	"2008"	"2008"			8314	36604337	22.71	22.39
	"California"	"06"	"2009"	"2009"	"Drug-induced causes"	"D"	4290	36961229	11.61	11.34
	"California"	"06"	"2009"	"2009"	"Alcohol-induced causes"	"A"	4245	36961229	11.49	11.19
"Total"	"California"	"06"	"2009"	"2009"			8535	36961229	23.09	22.56
	"California"	"06"	"2010"	"2010"	"Drug-induced causes"	"D"	4258	37253956	11.43	11.10
	"California"	"06"	"2010"	"2010"	"Alcohol-induced causes"	"A"	4292	37253956	11.52	11.15
"Total"	"California"	"06"	"2010"	"2010"			8550	37253956	22.95	22.25
	"California"	"06"	"2011"	"2011"	"Drug-induced causes"	"D"	4429	37691912	11.75	11.36
	"California"	"06"	"2011"	"2011"	"Alcohol-induced causes"	"A"	4489	37691912	11.91	11.41
"Total"	"California"	"06"	"2011"	"2011"			8918	37691912	23.66	22.77
	"California"	"06"	"2012"	"2012"	"Drug-induced causes"	"D"	4304	38041430	11.31	10.94
	"California"	"06"	"2012"	"2012"	"Alcohol-induced causes"	"A"	4422	38041430	11.62	10.98
"Total"	"California"	"06"	"2012"	"2012"			8726	38041430	22.94	21.92
	"California"	"06"	"2013"	"2013"	"Drug-induced causes"	"D"	4747	38332521	12.38	11.90
	"California"	"06"	"2013"	"2013"	"Alcohol-induced causes"	"A"	4560	38332521	11.90	11.16
"Total"	"California"	"06"	"2013"	"2013"			9307	38332521	24.28	23.07
	"California"	"06"	"2014"	"2014"	"Drug-induced causes"	"D"	4816	38802500	12.41	11.82
	"California"	"06"	"2014"	"2014"	"Alcohol-induced causes"	"A"	4746	38802500	12.23	11.31
"Total"	"California"	"06"	"2014"	"2014"			9562	38802500	24.64	23.13
	"California"	"06"	"2015"	"2015"	"Drug-induced causes"	"D"	5025	39144818	12.84	12.19
	"California"	"06"	"2015"	"2015"	"Alcohol-induced causes"	"A"	5150	39144818	13.16	12.09
"Total"	"California"	"06"	"2015"	"2015"			10175	39144818	25.99	24.28
	"California"	"06"	"2016"	"2016"	"Drug-induced causes"	"D"	5094	39250017	12.98	12.26
	"California"	"06"	"2016"	"2016"	"Alcohol-induced causes"	"A"	5055	39250017	12.88	11.73
"Total"	"California"	"06"	"2016"	"2016"			10149	39250017	25.86	23.98
	"California"	"06"	"2017"	"2017"	"Drug-induced causes"	"D"	5302	39536653	13.41	12.66
	"California"	"06"	"2017"	"2017"	"Alcohol-induced causes"	"A"	5096	39536653	12.89	11.64
"Total"	"California"	"06"	"2017"	"2017"			10398	39536653	26.30	24.31
"Total"	"California"	"06"					155250	697268717	22.27	22.04
	"Colorado"	"08"	"1999"	"1999"	"Drug-induced causes"	"D"	375	4226018	8.87	8.60
