"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	155	4503491	3.44	3.48
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	21	4503491	0.47	0.46
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4503491	Suppressed	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	21	4503491	0.47	0.49
	"Alabama"	"01"	"2003"	"2003"	"All other drug-induced causes"	"D9"	58	4503491	1.29	1.34
	"Alabama"	"01"	"2003"	"2003"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	4503491	Suppressed	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	217	4503491	4.82	4.54
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	223	4530729	4.92	5.03
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	42	4530729	0.93	0.93
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4530729	Suppressed	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	18	4530729	Unreliable	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"All other drug-induced causes"	"D9"	44	4530729	0.97	0.99
	"Alabama"	"01"	"2004"	"2004"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	4530729	Suppressed	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"All other alcohol-induced causes"	"A9"	246	4530729	5.43	5.06
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	217	4569805	4.75	4.86
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	28	4569805	0.61	0.62
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4569805	Suppressed	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	38	4569805	0.83	0.86
	"Alabama"	"01"	"2005"	"2005"	"All other drug-induced causes"	"D9"	49	4569805	1.07	1.09
	"Alabama"	"01"	"2005"	"2005"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	4569805	Suppressed	Suppressed
	"Alabama"	"01"	"2005"	"2005"	"All other alcohol-induced causes"	"A9"	254	4569805	5.56	5.17
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	310	4628981	6.70	6.84
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	40	4628981	0.86	0.86
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4628981	Suppressed	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	48	4628981	1.04	1.07
	"Alabama"	"01"	"2006"	"2006"	"All other drug-induced causes"	"D9"	68	4628981	1.47	1.48
	"Alabama"	"01"	"2006"	"2006"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	4628981	Suppressed	Suppressed
	"Alabama"	"01"	"2006"	"2006"	"All other alcohol-induced causes"	"A9"	245	4628981	5.29	4.84
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	424	4672840	9.07	9.20
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	48	4672840	1.03	1.01
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4672840	Suppressed	Suppressed
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	39	4672840	0.83	0.82
	"Alabama"	"01"	"2007"	"2007"	"All other drug-induced causes"	"D9"	43	4672840	0.92	0.91
	"Alabama"	"01"	"2007"	"2007"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	17	4672840	Unreliable	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"All other alcohol-induced causes"	"A9"	237	4672840	5.07	4.54
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	485	4718206	10.28	10.41
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	47	4718206	1.00	0.96
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4718206	Suppressed	Suppressed
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	75	4718206	1.59	1.59
	"Alabama"	"01"	"2008"	"2008"	"All other drug-induced causes"	"D9"	39	4718206	0.83	0.79
	"Alabama"	"01"	"2008"	"2008"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	24	4718206	0.51	0.48
	"Alabama"	"01"	"2008"	"2008"	"All other alcohol-induced causes"	"A9"	226	4718206	4.79	4.31
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	537	4757938	11.29	11.68
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	52	4757938	1.09	1.09
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4757938	Suppressed	Suppressed
	"Alabama"	"01"	"2009"	"2009"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	38	4757938	0.80	0.79
	"Alabama"	"01"	"2009"	"2009"	"All other drug-induced causes"	"D9"	58	4757938	1.22	1.17
	"Alabama"	"01"	"2009"	"2009"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	15	4757938	Unreliable	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"All other alcohol-induced causes"	"A9"	223	4757938	4.69	4.20
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	463	4779736	9.69	10.03
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	54	4779736	1.13	1.11
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4779736	Suppressed	Suppressed
	"Alabama"	"01"	"2010"	"2010"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	27	4779736	0.56	0.56
	"Alabama"	"01"	"2010"	"2010"	"All other drug-induced causes"	"D9"	38	4779736	0.80	0.81
	"Alabama"	"01"	"2010"	"2010"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	18	4779736	Unreliable	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"All other alcohol-induced causes"	"A9"	249	4779736	5.21	4.59
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	485	4802740	10.10	10.33
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	37	4802740	0.77	0.79
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4802740	Suppressed	Suppressed
	"Alabama"	"01"	"2011"	"2011"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	26	4802740	0.54	0.57
	"Alabama"	"01"	"2011"	"2011"	"All other drug-induced causes"	"D9"	53	4802740	1.10	1.14
	"Alabama"	"01"	"2011"	"2011"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	26	4802740	0.54	0.54
	"Alabama"	"01"	"2011"	"2011"	"All other alcohol-induced causes"	"A9"	223	4802740	4.64	4.04
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	478	4822023	9.91	10.34
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	57	4822023	1.18	1.09
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4822023	Suppressed	Suppressed
	"Alabama"	"01"	"2012"	"2012"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	27	4822023	0.56	0.59
	"Alabama"	"01"	"2012"	"2012"	"All other drug-induced causes"	"D9"	70	4822023	1.45	1.47
	"Alabama"	"01"	"2012"	"2012"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	17	4822023	Unreliable	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"All other alcohol-induced causes"	"A9"	263	4822023	5.45	4.78
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	520	4833722	10.76	11.16
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	44	4833722	0.91	0.88
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4833722	Suppressed	Suppressed
	"Alabama"	"01"	"2013"	"2013"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	34	4833722	0.70	0.65
	"Alabama"	"01"	"2013"	"2013"	"All other drug-induced causes"	"D9"	50	4833722	1.03	1.05
	"Alabama"	"01"	"2013"	"2013"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	19	4833722	Unreliable	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"All other alcohol-induced causes"	"A9"	240	4833722	4.97	4.28
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	639	4849377	13.18	13.45
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	50	4849377	1.03	1.00
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4849377	Suppressed	Suppressed
	"Alabama"	"01"	"2014"	"2014"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	33	4849377	0.68	0.67
	"Alabama"	"01"	"2014"	"2014"	"All other drug-induced causes"	"D9"	77	4849377	1.59	1.60
	"Alabama"	"01"	"2014"	"2014"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	22	4849377	0.45	0.45
	"Alabama"	"01"	"2014"	"2014"	"All other alcohol-induced causes"	"A9"	288	4849377	5.94	5.03
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	657	4858979	13.52	14.06
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	44	4858979	0.91	0.90
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4858979	Suppressed	Suppressed
	"Alabama"	"01"	"2015"	"2015"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	35	4858979	0.72	0.68
	"Alabama"	"01"	"2015"	"2015"	"All other drug-induced causes"	"D9"	74	4858979	1.52	1.53
	"Alabama"	"01"	"2015"	"2015"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	29	4858979	0.60	0.60
	"Alabama"	"01"	"2015"	"2015"	"All other alcohol-induced causes"	"A9"	287	4858979	5.91	5.15
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	680	4863300	13.98	14.66
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	46	4863300	0.95	0.94
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4863300	Suppressed	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	28	4863300	0.58	0.57
	"Alabama"	"01"	"2016"	"2016"	"All other drug-induced causes"	"D9"	99	4863300	2.04	1.75
	"Alabama"	"01"	"2016"	"2016"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	33	4863300	0.68	0.63
	"Alabama"	"01"	"2016"	"2016"	"All other alcohol-induced causes"	"A9"	362	4863300	7.44	6.36
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	752	4874747	15.43	16.26
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	52	4874747	1.07	1.11
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4874747	Suppressed	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	31	4874747	0.64	0.58
	"Alabama"	"01"	"2017"	"2017"	"All other drug-induced causes"	"D9"	125	4874747	2.56	2.34
	"Alabama"	"01"	"2017"	"2017"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	20	4874747	0.41	0.42
	"Alabama"	"01"	"2017"	"2017"	"All other alcohol-induced causes"	"A9"	367	4874747	7.53	6.35
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	624779	4.32	4.60
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	624779	Unreliable	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	624779	Suppressed	Suppressed
	"Alaska"	"02"	"1999"	"1999"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	624779	Suppressed	Suppressed
	"Alaska"	"02"	"1999"	"1999"	"All other drug-induced causes"	"D9"	10	624779	Unreliable	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	14	624779	Unreliable	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	80	624779	12.80	14.14
	"Alaska"	"02"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	36	626932	5.74	5.29
	"Alaska"	"02"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	Suppressed	626932	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	626932	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	626932	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	"All other drug-induced causes"	"D9"	Suppressed	626932	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	14	626932	Unreliable	Unreliable
	"Alaska"	"02"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	88	626932	14.04	16.38
	"Alaska"	"02"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	53	633714	8.36	8.06
	"Alaska"	"02"	"2001"	"2001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	Suppressed	633714	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	633714	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	633714	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	"All other drug-induced causes"	"D9"	10	633714	Unreliable	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	11	633714	Unreliable	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	109	633714	17.20	19.04
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	69	642337	10.74	10.02
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	12	642337	Unreliable	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	642337	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	642337	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"All other drug-induced causes"	"D9"	Suppressed	642337	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	642337	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	118	642337	18.37	18.94
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	72	648414	11.10	10.66
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	648414	Unreliable	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	648414	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	648414	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	"All other drug-induced causes"	"D9"	Suppressed	648414	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	648414	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	120	648414	18.51	20.76
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	64	659286	9.71	9.53
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	16	659286	Unreliable	Unreliable
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	659286	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	659286	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"All other drug-induced causes"	"D9"	Suppressed	659286	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	659286	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"All other alcohol-induced causes"	"A9"	102	659286	15.47	15.81
	"Alaska"	"02"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	62	666946	9.30	8.91
	"Alaska"	"02"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	Suppressed	666946	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	666946	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	666946	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"All other drug-induced causes"	"D9"	Suppressed	666946	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	666946	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	"All other alcohol-induced causes"	"A9"	120	666946	17.99	19.38
	"Alaska"	"02"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	66	675302	9.77	9.59
	"Alaska"	"02"	"2006"	"2006"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	Suppressed	675302	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	675302	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	675302	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	"All other drug-induced causes"	"D9"	Suppressed	675302	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	675302	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	"All other alcohol-induced causes"	"A9"	135	675302	19.99	20.32
	"Alaska"	"02"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	63	680300	9.26	8.80
	"Alaska"	"02"	"2007"	"2007"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	Suppressed	680300	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	680300	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	680300	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"All other drug-induced causes"	"D9"	Suppressed	680300	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	21	680300	3.09	2.93
	"Alaska"	"02"	"2007"	"2007"	"All other alcohol-induced causes"	"A9"	123	680300	18.08	17.67
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	91	687455	13.24	12.86
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	13	687455	Unreliable	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	687455	Suppressed	Suppressed
	"Alaska"	"02"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	23	687455	3.35	3.43
	"Alaska"	"02"	"2008"	"2008"	"All other drug-induced causes"	"D9"	Suppressed	687455	Suppressed	Suppressed
	"Alaska"	"02"	"2008"	"2008"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	32	687455	4.65	5.06
	"Alaska"	"02"	"2008"	"2008"	"All other alcohol-induced causes"	"A9"	115	687455	16.73	16.55
	"Alaska"	"02"	"2009"	"2009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	101	698895	14.45	13.99
	"Alaska"	"02"	"2009"	"2009"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	21	698895	3.00	2.66
	"Alaska"	"02"	"2009"	"2009"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	698895	Suppressed	Suppressed
	"Alaska"	"02"	"2009"	"2009"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	Suppressed	698895	Suppressed	Suppressed
	"Alaska"	"02"	"2009"	"2009"	"All other drug-induced causes"	"D9"	Suppressed	698895	Suppressed	Suppressed
