year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1993,1607000,6071,63,447,1003,4558,62725,10662,46811,5252,Nebraska,Nebraska State-Level Estimate,
1994,1623000,6322,51,500,1223,4548,65746,10963,48547,6236,Nebraska,Nebraska State-Level Estimate,
1995,1637000,6253,48,317,1067,4821,68140,10344,52044,5752,Nebraska,Nebraska State-Level Estimate,
1996,1652000,7182,48,447,1052,5635,66110,10152,50315,5643,Nebraska,Nebraska State-Level Estimate,
1997,1657000,7265,50,406,1097,5712,63717,9813,48363,5541,Nebraska,Nebraska State-Level Estimate,
1998,1663000,7507,51,417,1290,5749,65752,10544,49420,5788,Nebraska,Nebraska State-Level Estimate,
1999,1666028,7167,60,414,1264,5429,61277,10158,45679,5440,Nebraska,Nebraska State-Level Estimate,
2000,1711263,5606,63,436,1147,3960,64479,10131,49118,5230,Nebraska,Nebraska State-Level Estimate,
2001,1720039,5214,43,431,1128,3612,68963,9760,52713,6490,Nebraska,Nebraska State-Level Estimate,
2002,1727564,5428,48,464,1359,3557,68178,10329,51440,6409,Nebraska,Nebraska State-Level Estimate,
2003,1737475,5105,56,504,1165,3380,65189,10133,48924,6132,Nebraska,Nebraska State-Level Estimate,
2004,1747704,5393,40,620,1138,3595,61512,9826,46399,5287,Nebraska,Nebraska State-Level Estimate,
2005,1758163,5052,44,581,1040,3387,60348,9408,45359,5581,Nebraska,Nebraska State-Level Estimate,
2006,1768331,5197,51,577,1136,3433,59411,9535,44710,5166,Nebraska,Nebraska State-Level Estimate,
2007,1774571,5524,71,550,1115,3788,55765,9035,41484,5246,Nebraska,Nebraska State-Level Estimate,
2008,1783432,5570,69,601,1297,3603,51350,8731,38394,4225,Nebraska,Nebraska State-Level Estimate,
2009,1796619,5199,41,617,1220,3321,49731,8726,37496,3509,Nebraska,Nebraska State-Level Estimate,
2010,1830141,5093,54,674,1020,3345,48827,8318,36896,3613,Nebraska,Nebraska State-Level Estimate,
2011,1842234,4672,68,699,993,2912,50894,8725,38060,4109,Nebraska,Nebraska State-Level Estimate,
2012,1855350,4802,52,710,1128,2912,51203,8745,38301,4157,Nebraska,Nebraska State-Level Estimate,
2013,1868969,4949,56,847,1035,3011,49197,8945,35791,4461,Nebraska,Nebraska State-Level Estimate,
2014,1881503,5275,54,862,1043,3316,47479,7950,35074,4455,Nebraska,Nebraska State-Level Estimate,
2015,1893765,5167,62,885,994,3226,42597,6443,32148,4006,Nebraska,Nebraska State-Level Estimate,
2016,1907603,5661,49,1108,946,3558,43197,6459,32009,4729,Nebraska,Nebraska State-Level Estimate,
2017,1917575,5979,42,1191,1020,3726,43856,6513,32064,5279,Nebraska,Nebraska State-Level Estimate,
2018,1929268,5494,44,1233,756,3461,40126,5246,30006,4874,Nebraska,Nebraska State-Level Estimate,
